,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Mike Zombie,-0.08733420172909308,0.1304035499179798,0.01935123801879351,0.0543920820137718,-0.16311238941583592,-0.08525871361479878,-0.01222509567401882,-0.4413329704495148,0.07971879575474987,0.0610657409889784
Jazz Cartier,0.15579906378464048,0.010382546242336572,0.0377909840532004,-0.03406107702762253,-0.1080822083293168,-0.08525871361479878,-0.12387168201940034,-0.04799290990461063,-0.05374679061344255,0.020760959065699365
AKA,-0.16363125157649894,0.2364221031647981,0.07452379632401322,0.1655031931248829,0.028839320845733492,-0.08525871361479878,-0.009213047481247733,-0.1620191460297368,0.03843496682057016,0.017308320930980305
Big Dope P,0.056104251984030025,-0.08863478179006908,0.013840268465328728,-0.03427894195136981,-0.15546651416432686,0.3463308236085412,0.04199177179586072,-0.21449139628200722,0.08027843491278536,0.06857824561130961
MZ,0.07475464194672927,-0.03979290112761981,0.023339531573962582,0.11036521200650962,-0.015862221743133027,-0.08525837659266598,-0.05350688951605361,0.09983756436380509,0.008836737619100038,0.07413931552690747
La Fouine,0.116802793862633,0.030052655178067045,0.05371621926473363,0.03543783364775873,-0.07498361678002102,-0.0852580395705332,0.010867273803892845,-0.06312913593891945,0.020089382679797207,-0.0558270144394225
Jarod,0.19445623570732606,0.08639584857024403,0.04937868809527655,0.08816114519459968,-0.05264961275587615,-0.08525871361479878,0.7719114505107202,-0.058083727260816495,-0.020239440128978818,0.08795505805170586
CHO,-0.05884996978606152,-0.16564825914860679,-0.026329041930078095,-0.003342122779256529,-0.17388703730315985,-0.0852572548622837,0.0018311292255795864,-0.29622701686727465,0.04638685455862561,0.07998323967526322
Sy Ari Da Kid,0.20666376368291103,-0.05962970590178861,-0.0012048879581987122,-0.07338569576400597,0.09121356631857054,-0.08514905566711266,-0.03230541695915937,-0.06212005420329884,0.029656149580342944,-0.05617409474796717
Chase,0.21887129165849598,-0.23566051129273202,-0.08883559013534599,0.27443565499852124,-0.12055705742388421,-0.08525871361479878,0.12432108906493701,-0.06514729941016059,-0.04526449859874156,-0.12948524089148325
Tdot illdude,0.06525989796571874,0.09539742384591728,0.04326004509295063,-0.040923822125661743,-0.07277033710195262,-0.08525871361479878,-0.11222509567401881,-0.26898181000551885,-0.0036757916157813225,-0.09094959541942159
Ixzo,0.26973599155676664,-0.29167031300803226,-0.0861324910007568,0.06419600358239926,0.15258177557410374,-0.08525871361479878,-0.07648212378646861,-0.21247323281076608,-0.024574555397939714,-0.04574416928913997
Damso,0.15681635778260591,-0.03162480504413849,0.015139432390480127,0.13500210380026417,0.03286346571494879,-0.08525871361479878,-0.05941385069409913,-0.15394649214477213,-0.0036173218530015203,0.037704965605081624
Alien Family,0.07645013194333829,0.12140197464230655,-0.020210398927752178,0.5108190972643164,-0.049631504103964684,-0.08525871361479878,0.3994214906713627,0.022642811588830344,0.2051573189755985,-0.026400443008997507
Stackztootrill,0.0032049640898286656,-0.09963670712700305,0.010236136285876477,-0.05813515110169661,-0.1726596731180492,-0.08525871361479878,-0.10921304748124773,-0.2629273195917953,-0.03741702115136438,0.1060609726894124
Ol Kainry,0.04211645951200568,0.06689243547295196,0.009528930116943266,0.1470663739527696,-0.04090413991885403,-0.08525871361479878,0.10228293645449525,0.11270335649296757,-0.00557083839159157,0.0028735103979038758
Dear Silas,0.189369765717499,-0.15964720896482462,-0.028969278294095454,-0.022623168530890508,0.10429203714352026,-0.08525457880594565,0.49781506496855155,-0.21348231454638666,0.02982320604542811,-0.06924312804821434
Picture This,-0.09394661271586821,0.05689068516664837,0.05104455151543036,-0.08128329924984476,-0.10424418016030271,-0.05356857276972836,-0.057104613746307965,-0.20389603805799109,0.04435503030202691,-0.016127190250195617
Rhys Lewis,-0.13590999013194144,-0.392437947344041,-0.05801711686250061,-0.0669314473979929,0.5041914335217897,-0.08525871361479878,-0.0870242924611674,-0.07120178982388413,-0.07392407928701421,0.0006791194751892557
Natalie Weiss,-0.40981639908412865,-0.4096909666224148,-0.06880332057978579,-0.06848373497969225,0.2883966649101199,-0.06825670154236417,0.05303594850268801,-0.3406266132345804,-0.22893890554829055,-0.05407993542837432
